Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0010965,3.8401E-10,0.055006,0,0,0,0.28723,0.00028057,-2.4488E-12,2.6469E-06,0.00029735,5.5433E-13,0.00030569,0,0,0,0,0,0,package://xpkg_urdf_archer_l6y/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_archer_l6y/meshes/base_link.STL,,一轴简化-1,base xyz,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0087167,-0.0017163,0.034169,0,0,0,0.11039,0.00017513,-1.937E-06,2.1571E-05,0.00011184,-4.037E-06,0.00015136,0,0,0,0,0,0,package://xpkg_urdf_archer_l6y/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_archer_l6y/meshes/link_1.STL,,二轴简化-1,link1 xyz,link1 axis,joint_1,revolute,0,0,0.08355,0,0,0,base_link,0,0,1,1,1,-2.8623,2.8623,,,,,,,,
link_2,-0.0010527,0.028343,0.13421,0,0,0,0.73557,0.0072736,3.4706E-07,-2.0225E-05,0.0071871,5.2179E-06,0.00040033,0,0,0,0,0,0,package://xpkg_urdf_archer_l6y/meshes/link_2.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_archer_l6y/meshes/link_2.STL,,三轴简化-1,link2 xyz,link2 axis,joint_2,revolute,0.02,-0.0285,0.0555,0,0,0,link_1,0,1,0,1,1,-2.0943,1.5707,,,,,,,,
link_3,-0.05858,0.028471,0.14342,0,0,0,0.61297,0.0047304,-1.8226E-05,-0.00055435,0.0047447,6.9562E-05,0.00061271,0,0,0,0,0,0,package://xpkg_urdf_archer_l6y/meshes/link_3.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_archer_l6y/meshes/link_3.STL,,四轴简化-1,link3 xyz,link3 axis,joint_3,revolute,0,0,0.27,0,0,0,link_2,0,1,0,1,1,0,3.159,,,,,,,,
link_4,-0.047721,0.027002,0.045752,0,0,0,0.195,0.00029684,-1.4689E-05,-0.00014654,0.00037735,1.3893E-05,0.00030097,0,0,0,0,0,0,package://xpkg_urdf_archer_l6y/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_archer_l6y/meshes/link_4.STL,,五轴简化-1,link4 xyz,link4 axis,joint_4,revolute,-0.065,-5E-05,0.25,0,0,0,link_3,0,1,0,1,1,-1.5707,1.5707,,,,,,,,
link_5,0.039501,5.9911E-05,0.0068142,0,0,0,0.1383,5.7273E-05,8.0769E-08,9.4393E-06,8.5414E-05,-1.3326E-07,8.06E-05,0,0,0,0,0,0,package://xpkg_urdf_archer_l6y/meshes/link_5.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_archer_l6y/meshes/link_5.STL,,六轴简化-1,link5 xyz,link5 axis,joint_5,revolute,-0.046,0.0285,0.065,0,0,0,link_4,1,0,0,1,1,-1.5707,1.5707,,,,,,,,
link_6,-0.00073924,-2.2204E-16,0.0040571,0,0,0,0.0048643,5.1844E-07,-1.73E-21,8.9754E-22,5.8404E-07,4.86E-21,1.0506E-06,0,0,0,0,0,0,package://xpkg_urdf_archer_l6y/meshes/link_6.STL,0.1098,0.1098,0.1098,1,0,0,0,0,0,0,package://xpkg_urdf_archer_l6y/meshes/link_6.STL,,爪子垫-1,link6 xyz,link6 axis,joint_6,revolute,0.046,0,0.034,0,0,0,link_5,0,0,1,0,0,-3.1415,3.1415,,,,,,,,
