Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-9.18617675102346E-05,-2.70634840440764E-08,0.0447390959447012,0,0,0,0.663060491749796,0.000898525801069457,7.37147468037125E-09,-2.0980563215551E-06,0.000902542483325384,-8.15516446754725E-10,0.000776967167622665,0,0,0,0,0,0,package://xpkg_urdf_firefly_y6/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_firefly_y6/meshes/base_link.STL,,一轴简化-1,basexyz,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0086681,-0.0018416,0.028487,0,0,0,0.112,0.0001784,-2.1375E-06,2.1931E-05,0.00011334,-4.4342E-06,0.00015419,0,0,0,0,0,0,package://xpkg_urdf_firefly_y6/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_firefly_y6/meshes/link_1.STL,,二轴简化-1,link1xyz,link1axis,joint_1,revolute,0,0,0.09505,0,0,0,base_link,0,0,1,6,6,-2.86,2.86,,,,,,,,
link_2,0.00048214,4.7829E-05,0.13302,0,0,0,0.82601,0.0080322,-4.363E-08,-4.8212E-05,0.0079341,1.6167E-07,0.00038283,0,0,0,0,0,0,package://xpkg_urdf_firefly_y6/meshes/link_2.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_firefly_y6/meshes/link_2.STL,,三轴简化-1,link2xyz,link2axis,joint_2,revolute,0.02,0,0.05,0,0,0,link_1,0,1,0,6,6,-1.57,2.09,,,,,,,,
link_3,-0.059882,-0.00015037,0.1442,0,0,0,0.66381,0.0047028,-7.1898E-06,-0.00046528,0.0047039,2.0498E-05,0.00055756,0,0,0,0,0,0,package://xpkg_urdf_firefly_y6/meshes/link_3.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_firefly_y6/meshes/link_3.STL,,四轴简化-1,link3xyz,link3axis,joint_3,revolute,0,0,0.27,0,0,0,link_2,0,1,0,6,6,0,3.14,,,,,,,,
link_4,-0.056939,-0.00030658,0.050268,0,0,0,0.23535,0.00032532,-4.1097E-06,-0.00017521,0.00046444,3.6189E-06,0.00036751,0,0,0,0,0,0,package://xpkg_urdf_firefly_y6/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_firefly_y6/meshes/link_4.STL,,五轴简化-1,link4xyz,link4axis,joint_4,revolute,-0.065,0,0.25,0,0,0,link_3,0,1,0,3,3,-1.57,1.57,,,,,,,,
link_5,0.044651,1.3635E-08,0.0053606,0,0,0,0.17049,8.6113E-05,-4.6291E-12,-2.7276E-06,0.00012648,-3.8431E-11,0.00010935,0,0,0,0,0,0,package://xpkg_urdf_firefly_y6/meshes/link_5.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_firefly_y6/meshes/link_5.STL,,六轴简化-1,link5xyz,link5axis,joint_5,revolute,-0.047,0,0.065,0,0,0,link_4,-1,0,0,3,3,-1.54,1.54,,,,,,,,
link_6,-0.00064935,-2.498E-16,0.0039454,0,0,0,0.005725,5.1845E-07,-9.6121E-24,-2.0298E-10,6.2482E-07,-2.3302E-21,1.0818E-06,0,0,0,0,0,0,package://xpkg_urdf_firefly_y6/meshes/link_6.STL,0.1098,0.1098,0.1098,1,0,0,0,0,0,0,package://xpkg_urdf_firefly_y6/meshes/link_6.STL,,ACLY-03-23-A-1,link6xyz,link6axis,joint_6,revolute,0.047,0,0.034,0,0,0,link_5,0,0,1,3,3,-2.79,2.79,,,,,,,,
