Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.042219282440729,1.16390215941682E-07,0.01162334531415,0,0,0,0.283322504998722,0.000242487117048296,-3.74547842286707E-10,4.17566201111449E-06,0.000255394628570382,8.97915208846709E-08,0.000176779055302913,0,0,0,0,0,0,package://xpkg_urdf_gp100/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_gp100/meshes/base_link.STL,,urdf模型1.step-1;gripper-01-02-A-1;爪子垫-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_camera,0.0102270276002466,-6.05667666775424E-05,-0.00618904184229618,0,0,0,0.120826225038652,5.73194847431621E-05,-8.33375294170176E-10,2.7604375235226E-05,7.38661361030093E-05,-7.79872115467341E-09,2.69681397158257E-05,0,0,0,0,0,0,package://xpkg_urdf_gp100/meshes/link_camera.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://xpkg_urdf_gp100/meshes/link_camera.STL,,Realsense_D435-1,link_camera,Axis_joint_camera,joint_camera,fixed,0.0404204160928877,0,0.120140814565426,0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_1,0.0029935703031096,0.0232625245463094,-4.99999999996614E-05,0,0,0,0.00594562490946931,2.71490620979611E-06,2.02461043281452E-07,-2.28988076679175E-21,1.50874611657048E-06,-1.37934352421432E-20,1.34732225327847E-06,0,0,0,0,0,0,package://xpkg_urdf_gp100/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_gp100/meshes/link_1.STL,,URDF模型2.STEP-4/gripper-02-02-A.STEP.STEP-1,link_1,link1axis,joint_1,revolute,0.057667,0.030604,2.5E-05,0,0,0,base_link,0,0,-1,5,2,0,1.52,,,,,,,,
link_4,0.00299357030310961,-0.0232625245463094,-4.99999999996614E-05,0,0,0,0.00594562490946931,2.71490620979611E-06,-2.02461043281451E-07,-2.38955006998429E-21,1.50874611657048E-06,1.40751868306916E-20,1.34732225327847E-06,0,0,0,0,0,0,package://xpkg_urdf_gp100/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_gp100/meshes/link_4.STL,,URDF模型2.STEP-1/gripper-02-02-A.STEP.STEP-1,link_4,link4axis,joint_4,revolute,0.057667,-0.030604,2.5E-05,0,0,0,base_link,0,0,1,5,2,0,1.52,,,,,,,,
link_2,0.00299357030311495,0.0232625245463087,-4.99999999998835E-05,0,0,0,0.00594562490946931,2.71490620979602E-06,2.0246104328173E-07,-2.11005798684075E-21,1.50874611657057E-06,-1.29183190272206E-20,1.34732225327847E-06,0,0,0,0,0,0,package://xpkg_urdf_gp100/meshes/link_2.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_gp100/meshes/link_2.STL,,URDF模型2.STEP-5/gripper-02-02-A.STEP.STEP-1,link_2,link2axis,joint_2,revolute,0.0721,0.014,2.5E-05,0,0,0,base_link,0,0,-1,5,2,0,1.52,,,,,,,,
link_3,0.0255016384075726,0.00914641783954277,-0.00175616938344625,0,0,0,0.0339318813734253,4.34563605399316E-06,-2.9309446392394E-06,-5.93337815957799E-08,1.27759940699414E-05,-2.09898797659014E-08,1.35550153069492E-05,0,0,0,0,0,0,package://xpkg_urdf_gp100/meshes/link_3.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_gp100/meshes/link_3.STL,,urdf模型4.step-1;gripper-03-03-A-1;硅胶垫-1,link_3,link3axis,jint_3,revolute,0.0085108,0.04927,0,0,0,0,link_2,0,0,1,5,2,0,1.52,,,,,,,,
link_5,0.00299357030311496,-0.0232625245463087,-4.99999999998835E-05,0,0,0,0.0059456249094693,2.71490620979601E-06,-2.02461043281729E-07,-2.21997932746482E-21,1.50874611657057E-06,1.32117390179666E-20,1.34732225327847E-06,0,0,0,0,0,0,package://xpkg_urdf_gp100/meshes/link_5.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_gp100/meshes/link_5.STL,,URDF模型2.STEP-3/gripper-02-02-A.STEP.STEP-1,link_5,link5axis,joint_5,revolute,0.0721,-0.014,2.5E-05,0,0,0,base_link,0,0,1,5,2,0,1.52,,,,,,,,
link_6,0.0255016144765457,-0.00914642476472447,-0.00175616300903703,0,0,0,0.0339318665821072,4.34563338107952E-06,2.93093798198168E-06,-5.93286536028718E-08,1.27759708302427E-05,2.09910551971789E-08,1.35549910017957E-05,0,0,0,0,0,0,package://xpkg_urdf_gp100/meshes/link_6.STL,1,1,1,1,0,0,0,0,0,0,package://xpkg_urdf_gp100/meshes/link_6.STL,,urdf模型3.step-1;gripper-03-04-A-1,link_6,link6axis,joint_6,revolute,0.0085108,-0.04927,0,0,0,0,link_5,0,0,-1,5,2,0,1.52,,,,,,,,
